NAME,DESCRIPTION,Name_cluster,Desc_cluster,
TSO Conn,BAS App Time Sharing Option. The application accepts files from Cyberlife as input and generates files for the BAS daily jobs. The files generated by TSO are dropped in \\aft-bas-xfer-prd1\xctran,,,
TWS WORKLOAD BROWSER V.2,Web front end to the Tivoli Workload System (TWS). Provides batch job scheduling for Enterprise Unix and Windows Servers. Enables users to view how their batch jobs are defined to run.,,,
U488 Administrative Interface,This is a website used to approve U488s (mechanism to credit or debit an insured's policy) and also provide some reporting on U488s.,,,
U488 Input,This application allows CES-Roanoke processors to input U488 data to be automatically input into RQAM and ODE.,,,
UIM/UM Collection Service-Externally Hosted,Place holder for 1 or more Uninsured/UnderInsured Motorist Collection Agencies used to collect repair coverabe,,,
UltraMate v7.X,Estimates and shop management,,17,
UltraVAL v22.07,"ULtraVAL is a module of ARCVAL. The ULtraVAL module calculates reserves for universal life and interest sensitive life contracts for the purpose of financial or regulatory reporting on a GAAP, Statutory, or Tax basis",,,
Underwriting Quality Review (AFT),Underwriting review tool to allow for spot checking summary and reporting of UW cases,,,
Unica - HARE (High Avalability Run-time Environment),High Avalability Run-time Environment for Unica for campaign management,,,
Universal Code Tables (UCT),"Universal Code Tables : The code tables used by the enterprise applications to either validate the code, perform lookup or translate codes from one application to another",,,
UNIVERSAL FILES,"The app is nothing more than a further extension of CISs core Premium and Claim files. The records look exactly like the CIS records, and the only real difference is in the contained on each UNIVERSAL FILE. CIS files will contain all Lines of Commercial Data, where the UNIVERSAL FILES are broken up into different groupings. There is a separate file for Auto, General Liability, WC, MISC, etc. This way our Clients can use EZT+ modules to work with only the data that applies to the specific Line.",,,
Universal Hedge Request 2 (UHR2G),Hedge request tracking tool for compliance.,,,
UNIX DEDICATED,ATO Finance Usage Entry - created for dedicated Unix servers. Used to link to a specific application but where the application is hosted on containers. This allows IS to manage the hardware separate from the containers.,,,
UNIX PASSWORD RESET,Application to reset UNIX passwords,,,
UNIX SECURITY SITE,https://infosec/UnixSecurity/ - where Security Services houses the ownership information for group and app ids,,17,
UNIX SHARED,ATO Finance Usage Entry - created for shared Unix servers,,,
Unmatched Mail (AFT),Trailing documents matching engine. This application is used primarily by NB reps and managers to view information that is not yet linked to a policy number. If letters/requests or applications come in without a policy number on them and imaging can't link them to anything it will be put into Unmatched Mail until it can be placed with a policy number. Reps will look in here if the agent calls in asking for status on what they sent and there is no policy number.,,17,
UNSOLD QUOTE,Unsold Quote is a distributed architecture-based application that pushes unsold quote leads to an Agency online work queue (My Work Items).,,,
UPDATEABLE MICROFICHE,Commercial - CIC Transactions UMxx,,17,
URL Rewrite Module,Used to alter the Universal Resource Locator for internal proposes. This is the 32 bit version.,,,
URS PROPERTY UNIVERSAL RATING SYSTEM,"Provides premium calculation , amounts for policy processing.",,,
USD Log,"This application keeps a record of problem tickets routed to Security Services ACA by ATSC it records ticket number, platform, return queue name",,,
User Admin,User Admin is an application that provides Allstate Home Office Staff and Allstate EAs access to IMPACT and ASDT applications,,17,
USER EXPERIENCE PROTOTYPE SITE,Hosts prototypes used for usability evaluations with end users. Hosts UX standards website.,,,
VALUATION DATABASE,Supports Allstate Financial's (AF) valuation monthly close process. Inforce life and annuity policies are feed from all of the AF Administrative systems and valuation extracts are loaded and processed in SQL server environment.,,,
Valuation Lock,"Generates Valuations for OTC Cliquet Options, AF liabilities.",,,
VANTAGE,Annuity policy and agent administration,,,
VeraSmart v9,VeraSmart is a Call Detail Recording telephony application. A web based tool running on Windows 2003R2 platform with SQL Server 2008 database. The tool integrates with Avaya PBX-switch infrastructure to track calls and save statistical data on database for traceability and reporting. Generated reports sent in HTML / CSV format via email to management teams of different business units based on defined region-user hierarchy.,,,
Vibes Media SMS Platform,Vibes Media offers capabilities to send and receive SMS (Short Message Service) messages.,,,
VIEW DIRECT FOR MVS,"Batch Job L9KCLQQQ, LFINF117, TNMIPAC LFINF117 is a Cyberlife job. Application Code = L9KCLQQQ, LFI, & TNMIPAC",,,
Vin Input System,Supports VIN lookup on OS/390 for Renewal Processing. - Application name changed from VIN Rate Engine - Per Eladio Bueno,,,
